scenario,run,method,rank,bias,abs_bias,mse,coverage
Moderate confounding,1,OLSWithControls,1,0.00512299362634927,0.00512299362634927,0.012678674749557417,0.74
Moderate confounding,1,NaiveOLS,2,0.019495482006112397,0.019495482006112397,1.5698911716937172,0.27
Moderate confounding,1,AugmentedIPW,3,-0.022303017481029697,0.022303017481029697,0.02591256472536196,0.89
Moderate confounding,1,IPWEstimator,4,-0.0769806262419257,0.0769806262419257,0.30706416912633994,0.9
Moderate confounding,1,DML,5,-0.07886650369302406,0.07886650369302406,0.05579790199223947,1.0
Moderate confounding,2,AugmentedIPW,1,0.004173531261204566,0.004173531261204566,0.025972380350806262,0.87
Moderate confounding,2,OLSWithControls,2,-0.02530809803817613,0.02530809803817613,0.011268775047289452,0.81
Moderate confounding,2,DML,3,-0.09024061676815998,0.09024061676815998,0.04766992280432266,1.0
Moderate confounding,2,NaiveOLS,4,-0.09521917834981775,0.09521917834981775,1.5977405718554478,0.22
Moderate confounding,2,IPWEstimator,5,-0.1254737780725097,0.1254737780725097,0.17711814347175597,0.96
Moderate confounding,3,OLSWithControls,1,-0.007652553565649756,0.007652553565649756,0.013037332898951847,0.75
Moderate confounding,3,AugmentedIPW,2,-0.04414084014796149,0.04414084014796149,0.03672464591453388,0.91
Moderate confounding,3,IPWEstimator,3,-0.046595519076522374,0.046595519076522374,0.13823449929725126,0.95
Moderate confounding,3,NaiveOLS,4,0.050011708089559015,0.050011708089559015,1.08702357289176,0.35
Moderate confounding,3,DML,5,-0.07769961467812725,0.07769961467812725,0.051226669470542455,1.0
Moderate confounding,4,OLSWithControls,1,-0.006246550524072969,0.006246550524072969,0.012935416959815793,0.74
Moderate confounding,4,AugmentedIPW,2,0.028009371587248033,0.028009371587248033,0.05493644092183611,0.92
Moderate confounding,4,NaiveOLS,3,0.03605381823312559,0.03605381823312559,1.359644886731024,0.22
Moderate confounding,4,DML,4,-0.059128274926359525,0.059128274926359525,0.04497738681405898,1.0
Moderate confounding,4,IPWEstimator,5,-0.09335347834356011,0.09335347834356011,0.18090210741422869,0.87
Moderate confounding,5,OLSWithControls,1,0.007233611892191405,0.007233611892191405,0.014354495568682589,0.73
Moderate confounding,5,NaiveOLS,2,0.007424632535841358,0.007424632535841358,2.178948673244945,0.14
Moderate confounding,5,AugmentedIPW,3,-0.008809642006536667,0.008809642006536667,0.02535051827930623,0.88
Moderate confounding,5,DML,4,-0.07684669078663608,0.07684669078663608,0.04938097671237669,1.0
Moderate confounding,5,IPWEstimator,5,-0.16104962831649883,0.16104962831649883,0.2897611106187543,0.96
Moderate confounding,6,OLSWithControls,1,0.004539214005591319,0.004539214005591319,0.01172257681837237,0.8
Moderate confounding,6,AugmentedIPW,2,0.03056013402384794,0.03056013402384794,0.033665835585328534,0.92
Moderate confounding,6,DML,3,-0.0673932217006128,0.0673932217006128,0.053115714315482156,1.0
Moderate confounding,6,IPWEstimator,4,-0.08442186132945895,0.08442186132945895,0.19352057604930198,0.95
Moderate confounding,6,NaiveOLS,5,0.09676123642628465,0.09676123642628465,1.5403435917872363,0.25
Moderate confounding,7,OLSWithControls,1,0.002245130082264346,0.002245130082264346,0.01474074357338095,0.81
Moderate confounding,7,AugmentedIPW,2,-0.0131721402385363,0.0131721402385363,0.03615931278552596,0.88
Moderate confounding,7,DML,3,-0.03968549556066736,0.03968549556066736,0.04699639592503041,1.0
Moderate confounding,7,IPWEstimator,4,-0.0714386302776282,0.0714386302776282,0.1634959839376654,0.95
Moderate confounding,7,NaiveOLS,5,0.16845269785948025,0.16845269785948025,1.5007717019875872,0.28
Moderate confounding,8,AugmentedIPW,1,-0.012939497044696768,0.012939497044696768,0.0665051026462232,0.94
Moderate confounding,8,OLSWithControls,2,0.01649244148305362,0.01649244148305362,0.01470900099971404,0.73
Moderate confounding,8,DML,3,-0.04338128988563761,0.04338128988563761,0.04266403441366834,1.0
Moderate confounding,8,IPWEstimator,4,0.09439862705618118,0.09439862705618118,0.6033754253347716,0.9
Moderate confounding,8,NaiveOLS,5,0.16904998948341143,0.16904998948341143,1.273538269772785,0.19
Moderate confounding,9,OLSWithControls,1,-0.002354783183172282,0.002354783183172282,0.012703354140570979,0.77
Moderate confounding,9,AugmentedIPW,2,0.017173360750063704,0.017173360750063704,0.046799348950309086,0.85
Moderate confounding,9,DML,3,-0.04812638665082991,0.04812638665082991,0.05531067128413672,1.0
Moderate confounding,9,IPWEstimator,4,-0.08230915910765124,0.08230915910765124,0.17450861169056364,0.95
Moderate confounding,9,NaiveOLS,5,-0.16157319870723352,0.16157319870723352,1.5666120640806631,0.3
Moderate confounding,10,AugmentedIPW,1,0.0038752405836777193,0.0038752405836777193,0.025110142839937132,0.88
Moderate confounding,10,OLSWithControls,2,-0.009274201511614955,0.009274201511614955,0.010652964478006817,0.84
Moderate confounding,10,DML,3,-0.05985814798814393,0.05985814798814393,0.05040457242654778,1.0
Moderate confounding,10,IPWEstimator,4,-0.12065503704244063,0.12065503704244063,0.13964827047158634,0.96
Moderate confounding,10,NaiveOLS,5,0.16032308653741323,0.16032308653741323,1.1923836175042135,0.27
"Strong confounding, smaller sample",1,OLSWithControls,1,0.01875668097892147,0.01875668097892147,0.0586307089546702,0.62
"Strong confounding, smaller sample",1,AugmentedIPW,2,0.020959719935242482,0.020959719935242482,0.046868332444113286,0.69
"Strong confounding, smaller sample",1,NaiveOLS,3,-0.09600901017797803,0.09600901017797803,10.683613703080932,0.33
"Strong confounding, smaller sample",1,DML,4,-0.12966888109036545,0.12966888109036545,3.163902628793835,0.99
"Strong confounding, smaller sample",1,IPWEstimator,5,-0.48899039201297434,0.48899039201297434,2.9826634200189037,0.63
"Strong confounding, smaller sample",2,OLSWithControls,1,-0.017339826980967254,0.017339826980967254,0.05507601339709296,0.66
"Strong confounding, smaller sample",2,AugmentedIPW,2,0.0527295499760192,0.0527295499760192,0.06274990484364391,0.65
"Strong confounding, smaller sample",2,NaiveOLS,3,0.14603597082668962,0.14603597082668962,10.01686311475819,0.45
"Strong confounding, smaller sample",2,DML,4,-0.30531637217761376,0.30531637217761376,2.513819230196852,1.0
"Strong confounding, smaller sample",2,IPWEstimator,5,-0.7393132660247501,0.7393132660247501,2.800486889781613,0.58
"Strong confounding, smaller sample",3,NaiveOLS,1,0.002965393872480071,0.002965393872480071,8.485848883426133,0.47
"Strong confounding, smaller sample",3,AugmentedIPW,2,-0.004181216967761525,0.004181216967761525,0.04352027322821549,0.68
"Strong confounding, smaller sample",3,OLSWithControls,3,-0.010440911085459081,0.010440911085459081,0.05608016910329384,0.7
"Strong confounding, smaller sample",3,DML,4,-0.4373618818496485,0.4373618818496485,3.1718934046411698,1.0
"Strong confounding, smaller sample",3,IPWEstimator,5,-0.7311699610920128,0.7311699610920128,3.0409808911441756,0.58
"Strong confounding, smaller sample",4,AugmentedIPW,1,0.0040345664996985775,0.0040345664996985775,0.05103872690389547,0.65
"Strong confounding, smaller sample",4,OLSWithControls,2,0.042994154990735556,0.042994154990735556,0.04689831374863441,0.7
"Strong confounding, smaller sample",4,DML,3,-0.05641617882975347,0.05641617882975347,2.165076608715391,0.99
"Strong confounding, smaller sample",4,NaiveOLS,4,0.2820993863170691,0.2820993863170691,8.591363959020297,0.48
"Strong confounding, smaller sample",4,IPWEstimator,5,-0.9241069653719203,0.9241069653719203,3.1771094485931775,0.55
"Strong confounding, smaller sample",5,AugmentedIPW,1,0.0015334559236506173,0.0015334559236506173,0.06106621802410074,0.66
"Strong confounding, smaller sample",5,NaiveOLS,2,0.011769679875407224,0.011769679875407224,10.063326278748805,0.38
"Strong confounding, smaller sample",5,OLSWithControls,3,-0.016589894134478644,0.016589894134478644,0.03821339304728655,0.78
"Strong confounding, smaller sample",5,DML,4,-0.27254333683441256,0.27254333683441256,2.7679162807635462,0.99
"Strong confounding, smaller sample",5,IPWEstimator,5,-0.790738000537595,0.790738000537595,3.2725425375943553,0.54
"Strong confounding, smaller sample",6,AugmentedIPW,1,-0.0038422256836716517,0.0038422256836716517,0.059145730789144674,0.62
"Strong confounding, smaller sample",6,OLSWithControls,2,-0.022059688037475933,0.022059688037475933,0.06658833526764271,0.66
"Strong confounding, smaller sample",6,DML,3,-0.400812221476307,0.400812221476307,2.750850949244537,0.99
"Strong confounding, smaller sample",6,IPWEstimator,4,-0.49716906557535334,0.49716906557535334,2.357055129312169,0.62
