configuration,n_covariates,rf_ate,rf_ci_lower,rf_ci_upper,rf_diff_from_published,rf_pct_diff,lasso_ate,lasso_ci_lower,lasso_ci_upper,lasso_diff_from_published,lasso_pct_diff
CURRENT (9 covariates),9,8064.159291284473,-1836.83743201665,17965.15601458559,1062.8407087155274,11.64501707807086,3868.398950436479,-5431.400087220037,13168.197988092992,5711.601049563521,59.62005270943133
CORRECTED (11 covariates),11,7025.172996694183,736.0209139677073,13314.325079420656,2101.827003305817,23.02867320374512,6705.203831424366,2905.730892374436,10504.676770474296,2874.7961685756336,30.008310736697634
